smiles,log_ic50
C[C@@H](c1cccc(c1)c1c2ccccc2[nH]n1)Sc1nncn1C,2.7407573233077707
C[C@H](c1cccc(c1)c1c2ccccc2[nH]n1)Sc1nncn1C,3.477193631102115
C[C@@H](c1cccc(c1)c1cc(c2ccccc2)n[nH]1)Sc1nncn1C,2.7407573233077707
C[C@H](c1cccc(c1)c1cc(c2ccccc2)n[nH]1)Sc1nncn1C,3.8750612633917
C[C@@H](c1cccc(c1)c1cc(c2cccc(c2)OC)n[nH]1)Sc1nncn1C,3.477193631102115
C[C@@H](c1cccc(c1)n1ncc(c2ccccc2)n1)Sc1nncn1C,2.7407573233077707
C[C@H](c1cccc(c1)n1ncc(c2ccccc2)n1)Sc1nncn1C,3.8750612633917
C[C@@H](c1cccc(c1)n1ncc(c2ccc(CO)cc2)n1)Sc1nncn1C,3.477193631102115
C[C@@H](c1cccc(c1)n1ncc(c2cccc(c2)[Cl])n1)Sc1nncn1C,3.477193631102115
C[C@@H](c1cccc(c1)n1ncc(c2ccc(cc2)[Cl])n1)Sc1nncn1C,3.477193631102115
C[C@@H](c1cccc(c1)n1ncc(c2ccc(C#N)cc2)n1)Sc1nncn1C,2.7407573233077707
C[C@@H](c1cccc(c1)n1ncc(c2cccc(C#N)c2)n1)Sc1nncn1C,3.477193631102115
C[C@@H](c1cccc(c1)n1ncc(c2ccc(cc2)OC)n1)Sc1nncn1C,2.7407573233077707
C[C@@H](c1cccc(c1)n1ncc(c2cccc(c2)OC)n1)Sc1nncn1C,3.477193631102115
C[C@@H](c1cccc(c1)n1ncc(c2cccc(c2)C(N)=O)n1)Sc1nncn1C,2.7407573233077707
C[C@@H](c1cccc(c1)n1ncc(c2ccc(cc2)C(N)=O)n1)Sc1nncn1C,3.477193631102115
C[C@@H](c1cccc(c1)n1ncc(c2cccc(c2)C(NC)=O)n1)Sc1nncn1C,3.477193631102115
C[C@@H](c1cccc(c1)n1ncc(c2ccc(cc2)C(NC)=O)n1)Sc1nncn1C,3.477193631102115
C[C@@H](c1cccc(c1)n1ncc(c2cccc(c2)C(O)=O)n1)Sc1nncn1C,3.477193631102115
C[C@@H](c1cccc(c1)n1ncc(c2ccc(cc2)C(O)=O)n1)Sc1nncn1C,3.8750612633917
C[C@@H](c1ccnc(c1)n1ncc(c2ccccc2)n1)Sc1nncn1C,3.8750612633917
C[C@@H](c1cccc(c1)n1cc(c2ccccc2)nn1)Sc1nncn1C,3.477193631102115
C[C@@H](c1cccc(c1)n1cc(c2cccc(CO)c2)nn1)Sc1nncn1C,3.8750612633917
C[C@@H](c1cccc(c1)n1cc(c2ccc(CO)cc2)nn1)Sc1nncn1C,3.8750612633917
C[C@@H](c1cccc(c1)n1cc(c2ccc(cc2)OC)nn1)Sc1nncn1C,3.477193631102115
C[C@@H](c1cccc(c1)n1cc(c2cccc(c2)OC)nn1)Sc1nncn1C,3.477193631102115
C[C@@H](c1cccc(c1)n1cc(c2cccc(c2)[Cl])nn1)Sc1nncn1C,3.477193631102115
C[C@@H](c1cccc(c1)n1cc(c2ccc(cc2)[Cl])nn1)Sc1nncn1C,3.477193631102115
C[C@@H](c1cccc(c1)n1cc(c2ccc(C#N)cc2)nn1)Sc1nncn1C,3.477193631102115
C[C@@H](c1cccc(c1)n1cc(c2cccc(C#N)c2)nn1)Sc1nncn1C,3.8750612633917
C[C@@H](c1cccc(c1)n1cc(c2cccc(c2)C(N)=O)nn1)Sc1nncn1C,3.477193631102115
C[C@@H](c1cccc(c1)n1cc(c2ccc(cc2)C(N)=O)nn1)Sc1nncn1C,3.477193631102115
C[C@@H](c1cccc(c1)n1cc(c2cccc(c2)C(NC)=O)nn1)Sc1nncn1C,3.8750612633917
C[C@@H](c1cccc(c1)n1cc(c2ccc(cc2)C(NC)=O)nn1)Sc1nncn1C,3.8750612633917
C[C@@H](c1cccc(c1)n1cc(c2cccc(c2)C(O)=O)nn1)Sc1nncn1C,3.8750612633917
C[C@@H](c1cccc(c1)n1cc(c2ccc(cc2)C(O)=O)nn1)Sc1nncn1C,3.8750612633917
C[C@@H](c1cccc(c1)c1cc(c2ccccc2)no1)Sc1nncn1C,3.477193631102115
C[C@H](c1cccc(c1)c1cc(c2ccccc2)no1)Sc1nncn1C,3.8750612633917
Cc1cccc(c1)c1cc(c2cccc(c2)[C@H](C)Sc2nncn2C)on1,3.477193631102115
Cc1ccc(cc1)c1cc(c2cccc(c2)[C@H](C)Sc2nncn2C)on1,3.477193631102115
C[C@@H](c1cccc(c1)c1cc(c2ccc(CO)cc2)no1)Sc1nncn1C,3.477193631102115
C[C@@H](c1cccc(c1)c1cc(c2cccc(c2)[Cl])no1)Sc1nncn1C,3.477193631102115
C[C@@H](c1cccc(c1)c1cc(c2ccc(cc2)[Cl])no1)Sc1nncn1C,3.477193631102115
C[C@@H](c1cccc(c1)c1cc(c2cccc(C#N)c2)no1)Sc1nncn1C,3.477193631102115
C[C@@H](c1cccc(c1)c1cc(c2ccc(C#N)cc2)no1)Sc1nncn1C,3.477193631102115
C[C@@H](c1cccc(c1)c1cc(c2cccc(c2)C(F)(F)F)no1)Sc1nncn1C,3.477193631102115
C[C@@H](c1cccc(c1)c1cc(c2ccc(cc2)OC)no1)Sc1nncn1C,3.477193631102115
C[C@@H](c1cccc(c1)c1cc(c2cccc(c2)OC)no1)Sc1nncn1C,3.477193631102115
C[C@@H](c1cccc(c1)c1cc(c2ccc(cc2)C(NC)=O)no1)Sc1nncn1C,3.477193631102115
C[C@@H](c1cccc(c1)c1cc(c2ccc(cc2)C(O)=O)no1)Sc1nncn1C,3.8750612633917
C[C@@H](c1cccc(c1)c1cc(c2ccc(cc2)S(C)(=O)=O)no1)Sc1nncn1C,3.8750612633917
C[C@@H](c1cccc(c1)c1cc(c2ccccn2)no1)Sc1nncn1C,3.8750612633917
C[C@@H](c1ccnc(c1)c1cc(c2ccccc2)no1)Sc1nncn1C,3.8750612633917
C[C@H](Cc1nncn1C)c1cccc(c1)c1cc(c2ccccn2)n[nH]1,2.7407573233077707
C[C@H](Cc1nncn1C)c1cccc(c1)c1cc(c2ncccn2)n[nH]1,2.7407573233077707
C[C@H](Cc1nncn1C)c1cccc(c1)c1c2c(ccc(C(F)(F)F)n2)n[nH]1,2.7407573233077707
C[C@H](Cc1nncn1C)c1cccc(c1)c1c2c(cccn2)[nH]n1,3.477193631102115
