Participant ID,rank,smiles,Enamine catalog ID,mol_weight,logP,PAINS passed [y/n],Method,MMGBSA,Wim Recc.,Jude Recc.,Vina Score,Pharmaco score,smiles_match_experimental,similar_to,similarity_scores,bad_apples
1972,,NC1CCCC11CCN(CC1)C1=CC=C(C=N1)C(=O)NC1=NN=CS1,Z3493571017,,,,pubchem pharmit - closest match infinisee,,1.0,,,,0.0,,,No pScore
1972,,C[C@@H](NC(=O)c1cccc(C2(F)C[NH2+]C2)c1)c1cccnc1F,Z4422139754,318.347,1.4535,,classifier REAL + MMGBSA + amine,-50.73,1.0,,,,0.0,Z4422139754,1.0,No pScore
1972,,Cn1nnnc1SCCCN(Cc1ccc(Cl)cc1)C(=O)NCc1cc(F)ccc1N1CC[NH+](C)CC1,m_2708baa____23829346____24001680,548.107,2.232,,infinisee REAL + MMGBSA  + amine,-43.83,1.0,,,,0.0,m_2708baa____23829346____24001680,1.0,No pScore
1972,,C[C@H](Sc1nncn1C)c1cccc(NC(=O)[C@]23CO[C@](C[NH3+])(C2)C3)c1,Z4194910272,373.48001,1.0030479,,wim pharmacophore,,1.0,,,,0.0,,,No pScore
1972,,O=C(Nc1cccc(C[NH+]2CCCCC2)c1)c1cccc(Cn2ccnn2)c1,Z2621742679,375.47601,3.628351,,wim pharmacophore,,1.0,,,,0.0,,,High pScore
1972,,C[C@@H]1CCC[N@H+](Cc2ccc(NC(=O)c3cccc(Cn4ccnn4)c3)cc2)C1,Z2622538469,389.50299,3.9933236,,wim pharmacophore,,1.0,,,,0.0,,,High pScore
1972,,CC(C)(c1cccc(NC(=O)c2ccc(CN3CCCC3)cc2)c1)c1nnn[nH]1,PV-005418440569,390.491,2.3346574,,wim pharmacophore,,1.0,,,,0.0,,,No pScore
1972,,O=C(Nc1cccc(CN2CCCC2)c1)c1cccc(Cc2nnn[nH]2)c1,Z4412381053,362.43701,1.2274364,,wim pharmacophore,,1.0,,,,0.0,Z2911313247,0.91,High pScore
1972,,O=C(Nc1cccc(Cc2nnn[nH]2)c1)c1cccc(CN2CCCC2)c1,Z2911313247,362.43701,1.8583512,,wim pharmacophore,,1.0,,,,0.0,Z4412381053,0.91,High pScore
1972,,CC(C)(c1cccc(NC(=O)c2cccc(CN3CCCC3)c2)c1)c1nnn[nH]1,PV-004216514549,390.491,2.9715157,,wim pharmacophore,,1.0,,,,0.0,,,No pScore
